"ERR","MAD","MSE"
0.667110816104105,1.12340925293945,2.47521881548727
0.667601600487506,1.16405749358769,2.70433064325682
0.646362362469745,1.06665288477369,2.32325131989562
0.63928286478622,1.04748242063678,2.25376517591283
0.630860936230064,1.0240528300931,2.17592079806845
0.630373131715414,1.02588306548038,2.18897351716144
0.63610930456568,1.03430059873013,2.21202935766694
0.628786947578894,1.02075620129311,2.1647996299003
0.633909863440065,1.03344135357558,2.19822049687822
0.633667972594147,1.03564481752401,2.21898943711024
