"ERR","MAD","MSE"
0.720614273844655,1.36843595106438,3.47660487637166
0.694746010371601,1.31096725209867,3.33103372202963
0.690446093459015,1.24322894880096,2.99423316047331
0.689250207718534,1.21259404635705,2.84630289659915
0.681586110076498,1.1819525542217,2.7572549637567
0.673200870985302,1.1541609603759,2.64133913990201
0.674648311033435,1.15467008566599,2.64287740308856
0.660768988339111,1.13576769905166,2.61679110678165
0.669854740280205,1.14986247600493,2.64039452196086
0.667705068332235,1.14412715239378,2.61936194596453
