"ERR","MAD","MSE"
0.716780219465376,1.37395524739994,3.56358078102169
0.689966192017878,1.12017477007707,2.35023465031659
0.703373922012434,1.10102168868006,2.19795776867318
0.694757757212847,1.06823940635475,2.07904879236742
0.698826748417042,1.06416583101739,2.0447944302782
0.694990974987823,1.05170271896399,1.99974443457582
0.704336016961293,1.05794573532361,1.98687505372031
0.702661089304644,1.05052402372289,1.9698621894966
0.704331432828124,1.05266681947111,1.96528063490244
0.705540784459789,1.05340715697791,1.9612632151964
