"ERR","MAD","MSE"
0.498141415237682,0.596749511612763,0.817522248751899
0.468770349468201,0.537215107445192,0.685874755806382
0.476109724332537,0.540121011504233,0.676972541784241
0.450325591491209,0.51140112871717,0.642381159105709
0.448163121337096,0.503353592359453,0.61814629911005
0.436349576731061,0.492269915346212,0.60999294551769
0.437817451703929,0.485633275450402,0.585676687649229
0.450363577165183,0.497457673106143,0.599004232689386
0.428245061862383,0.474595723898415,0.571708812676362
0.45035815064033,0.497454959843716,0.599012372476666
