"ERR","MAD","MSE"
0.481248643368787,0.569538202734969,0.765245821575863
0.480499782939006,0.564385717386586,0.745409159973953
0.470905686998046,0.537109290210549,0.676874864336879
0.442221076622531,0.501809746038637,0.628345452572173
0.424552311699588,0.474593010635989,0.580562187974821
0.419418819188192,0.471654547427827,0.582008356848274
0.428996635554591,0.48198665074886,0.596801063598871
0.43267853266768,0.478312893423052,0.576950835684827
0.411314304319514,0.455453657477751,0.549614716735403
0.429002062079444,0.478304753635772,0.58280334273931
