"ERR","MAD","MSE"
0.266888150609081,0.435548172757475,0.866777408637874
0.370653377630122,0.624031007751938,1.35559246954596
0.351495016611296,0.610188261351052,1.34507198228128
0.38936877076412,0.68936877076412,1.54274640088594
0.413732004429679,0.751827242524917,1.77486157253599
0.389700996677741,0.671207087486157,1.51528239202658
0.380287929125138,0.657364341085271,1.56854928017719
0.389479512735327,0.69390919158361,1.69545957918051
0.366445182724252,0.648504983388704,1.56079734219269
0.375968992248062,0.638759689922481,1.53975636766334
