"ERR","MAD","MSE"
0.715826146749563,1.33949001518494,3.35005758817294
0.697390482193508,1.29447411397301,3.2068661719623
0.679916339569664,1.21738962266854,2.91192247084778
0.687094805604103,1.21498725037962,2.87071598429934
0.680154427986133,1.18770048419907,2.76108386098616
0.682066871042604,1.18361888662866,2.76703005472309
0.666028994642294,1.15850442655359,2.6974810188236
0.668904678680916,1.15824227143799,2.69279689424978
0.667707933415466,1.15011488983755,2.66172478010486
0.670572443629487,1.15033979887116,2.65476979056242
