"ERR","MAD","MSE"
0.0915789473684211,0.0915789473684211,0.0915789473684211
0.0989473684210526,0.0989473684210526,0.0989473684210526
0.1,0.1,0.1
0.112631578947368,0.112631578947368,0.112631578947368
0.126315789473684,0.126315789473684,0.126315789473684
0.126315789473684,0.126315789473684,0.126315789473684
0.150526315789474,0.150526315789474,0.150526315789474
0.158947368421053,0.158947368421053,0.158947368421053
0.158947368421053,0.158947368421053,0.158947368421053
0.178947368421053,0.178947368421053,0.178947368421053
