"ERR","MAD","MSE"
0.106315789473684,0.106315789473684,0.106315789473684
0.116842105263158,0.116842105263158,0.116842105263158
0.117894736842105,0.117894736842105,0.117894736842105
0.127368421052632,0.127368421052632,0.127368421052632
0.131578947368421,0.131578947368421,0.131578947368421
0.141052631578947,0.141052631578947,0.141052631578947
0.156842105263158,0.156842105263158,0.156842105263158
0.158947368421053,0.158947368421053,0.158947368421053
0.152631578947368,0.153684210526316,0.155789473684211
0.177894736842105,0.177894736842105,0.177894736842105
