"ERR","MAD","MSE"
0.541569893640113,0.651975255046668,0.905193184284784
0.535668547861949,0.632800629476883,0.857957998697634
0.518756783156067,0.592359453006295,0.752821792923812
0.501117864119818,0.577653570653354,0.742500542652485
0.505540481875407,0.579870306056002,0.750605057521163
0.502553179943564,0.57318482743651,0.732106034295637
0.500379856739744,0.574706967657912,0.741029954417191
0.483438246147167,0.554086173214673,0.714515953983069
0.488615150857391,0.557051769047102,0.708647167354026
0.483440959409594,0.554816040807467,0.712277512481007
