"ERR","MAD","MSE"
0.54675222487519,0.6733259170827,0.966206316474929
0.533487084870849,0.654172997612329,0.927930323420881
0.53712556978511,0.624674408508791,0.82918927718689
0.553350879097026,0.638688408942913,0.837310071630128
0.537901562839158,0.626920989798133,0.832906446711526
0.509173540264814,0.602621011504233,0.818949424788366
0.519521923160408,0.605605600173649,0.799842630779249
0.515837312784893,0.599701541133058,0.785077056652919
0.510665834599522,0.593081180811808,0.778516388105058
0.503296613848491,0.589364011287172,0.782097894508357
