"ERR","MAD","MSE"
0.728990917686159,1.389032461393,3.5163842649629
0.710557831705011,1.37491820187376,3.56456894822795
0.696433257886142,1.28944961751139,3.1807936280549
0.693322923530929,1.24971091310203,3.03284703320631
0.689968770592786,1.23748674899006,2.98226513480217
0.681108500701945,1.20829298341117,2.8966550153282
0.679675672578288,1.20707962066298,2.87809013551844
0.677760077930264,1.19128871443715,2.82931982924104
0.670811964587571,1.19199638999513,2.85635246253904
0.671292439045354,1.1824158381801,2.79885511274103
