"ERR","MAD","MSE"
0.651122479310399,1.06347209837143,2.26414361179462
0.650879769000574,1.07690862455963,2.34108367396958
0.633177933177933,1.01037269963444,2.12096114176651
0.626100893886129,1.00318041391867,2.10011867327304
0.630250510116282,0.995975836244293,2.03455843187387
0.613279561601709,0.962890874971412,1.96240962616802
0.625855129210834,0.977297273941569,1.97192874239854
0.615116203706808,0.975713324706613,2.01600323613746
0.611573884728247,0.961919214268208,1.95998051165836
0.613160143361486,0.972780016404177,2.0125746736485
