"ERR","MAD","MSE"
0.671508506407835,1.1351337700331,2.5369985718979
0.662595867964995,1.13696124904179,2.59618718343551
0.648194236784841,1.07641858514342,2.34913006456631
0.637087148496544,1.03649869891481,2.20787482465335
0.635010403466779,1.04077443808987,2.23439036727627
0.628906589309274,1.03064213936697,2.22376668819622
0.6358663707657,1.03027732893505,2.17383727383727
0.629761364660694,1.03124869165138,2.20848741117198
0.63281364422304,1.03002806291397,2.19042322330913
0.633788806272028,1.0313708662702,2.20348853234759
