"ERR","MAD","MSE"
0.690139062205424,1.03925297830127,1.92088581457774
0.654782788246595,0.868737038666296,1.35896856960741
0.63530869295891,0.82681189345447,1.2589676718527
0.641894172674142,0.814800384239018,1.19837326845559
0.639802853064486,0.805226727953389,1.16904003088276
0.636499115711605,0.79502643887637,1.14744005242888
0.633500166084622,0.792624496135166,1.14264020684269
0.62960795051576,0.784835127346506,1.12345114867716
0.638296869529307,0.791129285656573,1.12676117031305
0.64518264819686,0.800109077197928,1.1363271956836
