"ERR","MAD","MSE"
0.699135462209015,1.04107542037365,1.91137141010333
0.651488477318227,0.867543024894738,1.37336227096033
0.628408101338552,0.810604727576332,1.22173868155742
0.634999865336793,0.798021797484491,1.16362073454291
0.619709307023135,0.771037535124653,1.10784996723195
0.637395523794989,0.800419700329476,1.16182971388557
0.630505256353859,0.783347547782995,1.12259917945219
0.633501961594053,0.788730933934231,1.12915593101653
0.64189058165528,0.79651446731724,1.13692689583352
0.633204355905879,0.791427340222104,1.13603766978786
